title,author,genre,url_book,url_image
Розум убивці,Майк Омер,Художня література,/catalog/mistychnyj-detektyv/rozum-ubyvtsi/,https://book-ye.com.ua//upload/resize_cache/iblock/99e/230_355_1/3569da82_a985_11eb_814a_0050568ef5e6_435f0d1f_e59b_11ec_8170_0050568ef5e6.jpg
Тільки я візьму новий рівень. Книга 4,Dubu,Художня література,/catalog/manga/tilky-ya-vizmu-novyj-riven-knyha-4/,https://book-ye.com.ua//upload/resize_cache/iblock/9d7/230_355_1/5dd4543c_e85c_11e6_80c1_000c29ae1566_7c6ef87a_82a7_11ed_8177_0050568ef5e6.jpg
Ловець у житі (Класика),Джером Девід Селінджер,Художня література,/catalog/zarubizhna-klasyka/lovets-u-zhyti-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/64f/230_355_1/f5ceae7c_496e_11ed_8175_0050568ef5e6_e3b299bf_4971_11ed_8175_0050568ef5e6.jpg
Про мишей і людей (Класика),Джон Стейнбек,Художня література,/catalog/zarubizhna-klasyka/pro-myshej-i-lyudej-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/b4a/230_355_1/cd0c93f4_5084_11ed_8175_0050568ef5e6_418eb5d1_755c_11ed_8177_0050568ef5e6.jpg
451° за Фаренгейтом (Маєстат слова),Рей Бредбері,Художня література,/catalog/antyutopiyi/451-za-farenhejtom-mayestat-slova/,https://book-ye.com.ua//upload/resize_cache/iblock/c45/230_355_1/cfa05218_74e0_11e6_80be_000c29ae1566_ec810430_cb8a_11ec_816f_0050568ef5e6.jpg
Портрет Доріана Ґрея (Шкільна бібліотека української та світової літератури),Оскар Вайльд,Художня література,/catalog/zarubizhna-klasyka/portret-doriana-greya-shkilna-biblioteka-ukrayinskoyi-ta-svitovoyi-literatury/,https://book-ye.com.ua//upload/resize_cache/iblock/346/230_355_1/a57acb5e_6daf_11ed_8176_0050568ef5e6_2a6d2057_6db0_11ed_8176_0050568ef5e6.jpg
"Бойня номер п'ять, або Хрестовий похід дітей (Класика)",Курт Воннеґут,Художня література,/catalog/istorychni-romany/bojnya-nomer-p-yat-abo-khrestovyj-pokhid-ditej-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/4e3/230_355_1/39c0d22b_e6f2_11ec_8171_0050568ef5e6_c4f3912b_e6f3_11ec_8171_0050568ef5e6.jpg
Однойменні. Книга 2,Едрієнн Янґ,Художня література,/catalog/fentezi/odnojmenni-knyha-2/,https://book-ye.com.ua//upload/resize_cache/iblock/ca9/230_355_1/d576988d_959d_11ed_8178_0050568ef5e6_98ec49aa_959e_11ed_8178_0050568ef5e6.jpg
Місто (Неканонічний канон),Валер'ян Підмогильний,Художня література,/catalog/ukrayinska-klasyka/misto-nekanonichnyj-kanon/,https://book-ye.com.ua//upload/resize_cache/iblock/b1f/230_355_1/471b11aa_4b97_11ed_8175_0050568ef5e6_bdc5460f_7c8c_11ed_8177_0050568ef5e6.jpg
Три любові,Арчибальд Дж. Кронін,Художня література,/catalog/zarubizhna-klasyka/try-lyubovi/,https://book-ye.com.ua//upload/resize_cache/iblock/854/230_355_1/7b6eea70_fb6b_11eb_8150_0050568ef5e6_a5a5824a_fb6c_11eb_8150_0050568ef5e6.jpg
"Котик, Півник, Шафка",Олександр Михед,Художня література,/catalog/suchasna-ukrayinska-proza/kotyk-pivnyk-shafka/,https://book-ye.com.ua//upload/resize_cache/iblock/11b/230_355_1/376d52e2_715d_11ed_8176_0050568ef5e6_c78b1565_7160_11ed_8176_0050568ef5e6.jpg
Перед очима,Міла Смолярова,Художня література,/catalog/suchasna-ukrayinska-proza/pered-ochyma/,https://book-ye.com.ua//upload/resize_cache/iblock/d99/230_355_1/bca3daf2_59f9_11ed_8175_0050568ef5e6_96e1fb6e_59fa_11ed_8175_0050568ef5e6.jpg
Книга сміху і забуття,Мілан Кундера,Художня література,/catalog/zarubizhna-klasyka/knyha-smikhu-i-zabuttya/,https://book-ye.com.ua//upload/resize_cache/iblock/87c/230_355_1/8aaba4de_82dd_11ed_8177_0050568ef5e6_df8d2c02_82dd_11ed_8177_0050568ef5e6.jpg
